x,y
84,69
54,27
52,16
90,11
13,31
29,7
50,32
50,31
11,21
5,32
32,52
93,22
9,41
56,50
57,79
34,54
39,45
97,72
11,74
11,73
64,12
68,70
25,75
7,46
1,78
63,72
57,42
84,45
30,91
17,65
2,1
19,34
91,35
27,67
74,73
66,80
52,45
31,28
22,42
50,2
74,14
25,7
55,52
65,78
85,14
12,22
37,53
34,47
92,88
8,27
17,31
48,78
52,59
54,33
71,49
21,24
14,72
98,70
51,30
72,40
35,97
83,13
88,56
54,70
66,2
65,55
84,56
85,61
31,65
48,97
14,65
87,69
83,30
85,16
92,47
15,5
55,83
18,92
54,29
3,78
5,1
36,51
92,54
11,46
61,49
77,15
23,6
61,35
16,31
3,90
61,3
82,9
49,77
27,39
67,93
79,95
63,12
2,97
57,64
89,14
